sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,84.83,Others,78.59,Central,Science,66.56,Comm&Mgmt,Yes,66.42,Mkt&HR,70.06,Placed,637254.0
2,69.75,Central,93.03,Central,Arts,72.82,Sci&Tech,No,46.89,Mkt&Fin,79.3,Placed,532610.0
3,88.64,Central,63.55,Others,Science,50.03,Others,No,73.01,Mkt&HR,57.53,Not Placed,
4,81.38,Central,66.25,Others,Science,75.79,Comm&Mgmt,Yes,49.07,Mkt&Fin,67.75,Placed,671468.0
5,54.24,Others,85.61,Others,Science,78.73,Others,Yes,43.54,Mkt&Fin,71.3,Placed,646563.0
6,93.9,Central,70.29,Others,Commerce,72.68,Comm&Mgmt,No,68.92,Mkt&Fin,79.42,Placed,564459.0
7,84.25,Central,81.83,Central,Commerce,69.86,Others,No,78.01,Mkt&HR,88.58,Placed,600550.0
8,85.37,Central,67.99,Others,Arts,82.4,Comm&Mgmt,No,89.54,Mkt&Fin,83.93,Placed,629356.0
9,55.77,Others,55.77,Others,Commerce,77.25,Sci&Tech,No,85.4,Mkt&HR,74.86,Placed,619814.0
10,70.27,Others,82.26,Central,Commerce,61.12,Sci&Tech,No,89.72,Mkt&Fin,73.35,Placed,595473.0
11,66.69,Central,51.56,Others,Science,88.36,Comm&Mgmt,Yes,84.08,Mkt&Fin,74.13,Placed,745937.0
12,91.7,Central,54.93,Central,Arts,78.29,Comm&Mgmt,No,80.79,Mkt&HR,71.81,Placed,626176.0
13,78.97,Central,76.34,Others,Science,89.52,Others,Yes,40.59,Mkt&Fin,52.37,Placed,672405.0
14,87.02,Others,82.36,Others,Science,88.85,Comm&Mgmt,No,76.31,Mkt&Fin,77.93,Placed,666771.0
15,69.95,Others,89.73,Others,Science,86.76,Others,Yes,46.99,Mkt&HR,78.65,Placed,668632.0
16,60.23,Central,58.63,Others,Commerce,80.21,Sci&Tech,Yes,43.4,Mkt&HR,70.5,Placed,672752.0
17,74.96,Central,50.54,Central,Commerce,74.38,Comm&Mgmt,No,49.07,Mkt&HR,84.82,Placed,552573.0
18,52.87,Others,92.8,Others,Commerce,56.89,Others,No,87.75,Mkt&HR,76.9,Placed,583641.0
19,87.24,Others,52.72,Others,Arts,71.73,Sci&Tech,No,83.14,Mkt&Fin,64.51,Placed,589909.0
20,78.42,Central,54.88,Others,Arts,80.62,Sci&Tech,No,95.03,Mkt&Fin,50.79,Placed,632877.0
